,item,IAB_Candidates,scores
769,coast,['Beach Travel'],3
770,conference_room,['Office Property'],3
771,cottage,"['Home & Garden', 'Houses']",3
772,fastfood_restaurant,"['Bars & Restaurants', 'Dining Out']",3
773,food_court,"['Food & Drink', 'Cooking', 'Desserts and Baking', 'Dining Out']",3
774,football_field,['Sports'],3
775,exterior,['Landscaping'],3
776,golf_course,['Sports'],3
777,industrial_area,['Logistics and Transportation Industry'],3
778,kitchen,"['Cooking', 'Desserts and Baking', 'Home Appliances']",3
779,mansion,['Houses'],3
780,manufactured_home,['Houses'],3
781,mountain,['North America Travel'],3
782,mountain_path,"['North America Travel', 'South America Travel']",3
783,nursery,['Daycare and Pre-School'],3
784,orchestra_pit,['Concerts & Music Events'],3
785,parking_lot,['Malls & Shopping Centers'],3
786,pet_shop,"['Pets', 'Large Animals']",3
787,picnic_area,"['Outdoor Activities', 'Parks & Nature']",3
788,recreation_room,"['Healthy Living', 'Wellness']",3
789,residential_neighborhood,['Landscaping'],3
790,sauna,"['Bath and Shower', 'Wellness']",3
791,soccer_field,['Sports'],3
792,baseball,['Sports'],3
793,football,['Sports'],3
794,platform,"['Rail Travel', 'Logistics and Transportation Industry', 'Rail Travel']",3
795,tree_house,"['Home & Garden', 'Home Improvement']",3
796,village,['Land and Farms'],3
797,yard,"['Home & Garden', 'Landscaping']",3
798,zen_garden,['Landscaping'],3
799,Drum,"['Musical Instruments', 'Musical Instruments']",3
800,Drum and bass,['Music and Audio'],3
801,Duck,"['Birds', 'Birds']",3
802,Electric guitar,"['Musical Instruments', 'Music and Audio']",3
803,Electric piano,"['Musical Instruments', 'Music and Audio']",3
804,"Electric shaver, electric razor",['Shaving'],3
805,Electronic dance music,"['Entertainment Industry', 'Concerts & Music Events', 'Music and Audio']",3
806,Electronic music,"['Entertainment Industry', 'Concerts & Music Events', 'Music and Audio']",3
807,Electronic organ,"['Musical Instruments', 'Music and Audio']",3
808,Electronic tuner,"['Music and Audio', 'Consumer Electronics']",3
809,Emergency vehicle,"['Logistics and Transportation Industry', 'Medical Health']",3
810,Engine,['Auto Parts'],3
811,Engine knocking,"['Auto Parts', 'Auto Repair']",3
812,Engine starting,"['Auto Parts', 'Auto Rentals']",3
813,Environmental noise,['Logistics and Transportation Industry'],3
814,Exciting music,"['Entertainment Industry', 'Cinemas and Events', 'Concerts & Music Events', 'Theater Venues and Events', 'Music and Audio']",3
815,Fire alarm,['Home Security'],3
816,"Fixed-wing aircraft, airplane","['Aviation Industry', 'Air Travel']",3
817,Flute,"['Musical Instruments', 'Musical Instruments']",3
818,Folk music,"['Concerts & Music Events', 'Music and Audio']",3
819,Fowl,['Birds'],3
820,Frying (food),"['Food & Drink', 'Cooking']",3
821,Funny music,"['Comedy Events', 'Music and Audio']",3
822,Gospel music,"['Concerts & Music Events', 'Music and Audio', 'Religion & Spirituality']",3
823,Happy music,['Music and Audio'],3
824,Harmonica,"['Musical Instruments', 'Musical Instruments']",3
825,Harp,"['Musical Instruments', 'Musical Instruments']",3
826,Hip hop music,"['Concerts & Music Events', 'Music and Audio']",3
827,House music,['Music and Audio'],3
828,"Ice cream truck, ice cream van","['Food & Drink', 'Desserts and Baking']",3
829,Independent music,"['Concerts & Music Events', 'Music and Audio']",3
830,"Inside, large room or hall","['Events and Attractions', 'Casinos & Gambling', 'Hotel Properties', 'Hotels and Motels']",3
831,"Inside, public space","['Events and Attractions', 'Malls & Shopping Centers', 'Museums & Galleries', 'Real Estate', 'Office Property', 'Retail Property']",3
832,Jazz,"['Concerts & Music Events', 'Musical Instruments', 'Music and Audio', 'Pop Culture']",3
833,Jingle (music),['Music and Audio'],3
834,Keyboard (musical),"['Musical Instruments', 'Music and Audio']",3
835,Lawn mower,['Landscaping'],3
836,"Livestock, farm animals, working animals",['Large Animals'],3
837,Mallet percussion,['Musical Instruments'],3
838,"Marimba, xylophone",['Musical Instruments'],3
839,Microwave oven,"['Desserts and Baking', 'Home Appliances', 'Home Appliances']",3
840,Middle Eastern music,['Music and Audio'],3
841,Motor vehicle (road),"['Auto Body Styles', 'Commercial Trucks', 'Pickup Trucks', 'Auto Parts', 'Auto Repair', 'Auto Shows', 'Auto Type', 'Green Vehicles', 'Luxury Cars', 'Road-Side Assistance', 'Automotive Industry']",3
842,Motorcycle,['Motorcycles'],3
843,Music,"['Theater Venues and Events', 'Music and Audio']",3
844,Music for children,"['Music and Audio', ""Children's Games and Toys""]",3
845,Music of Africa,"['Concerts & Music Events', 'Music and Audio']",3
846,Music of Asia,['Music and Audio'],3
847,Music of Bollywood,"['Movies', 'Music and Audio']",3
848,Music of Latin America,['Music and Audio'],3
849,New-age music,['Music and Audio'],3
850,Opera,"['Media Industry', 'Cinemas and Events']",3
851,Orchestra,['Media Industry'],3
852,Organ,"['Musical Instruments', 'Musical Instruments']",3
853,"Outside, rural or natural","['Outdoor Activities', 'Large Animals', 'Land and Farms']",3
854,"Outside, urban or manmade","['Green Vehicles', 'Events and Attractions', 'Parks & Nature']",3
855,Percussion,['Musical Instruments'],3
856,Piano,"['Musical Instruments', 'Music and Audio', 'Musical Instruments', 'Music and Audio']",3
857,"Pigeon, dove",['Birds'],3
858,Plucked string instrument,['Musical Instruments'],3
859,Pop music,"['Concerts & Music Events', 'Music and Audio']",3
860,"Power windows, electric windows",['Green Vehicles'],3
861,Progressive rock,"['Music and Audio', 'Pop Culture']",3
862,Psychedelic rock,['Pop Culture'],3
863,Punk rock,['Pop Culture'],3
864,"Race car, auto racing","['Automotive', 'Luxury Cars', 'Road-Side Assistance', 'Sports']",3
865,Radio,['Music and Audio'],3
866,Rail transport,"['Logistics and Transportation Industry', 'Rail Travel']",3
867,"Railroad car, train wagon","['Logistics and Transportation Industry', 'Rail Travel']",3
868,Rattle (instrument),['Musical Instruments'],3
869,Reggae,['Pop Culture'],3
870,Rhythm and blues,"['Music and Audio', 'Pop Culture']",3
871,"Roaring cats (lions, tigers)","['Zoos & Aquariums', 'Cats', 'Large Animals']",3
872,Rock and roll,"['Music and Audio', 'Pop Culture']",3
873,Rock music,['Music and Audio'],3
874,Sad music,['Music and Audio'],3
875,Saxophone,"['Musical Instruments', 'Musical Instruments']",3
876,Scary music,['Music and Audio'],3
877,Ship,['Cruises'],3
878,Single-lens reflex camera,['Cameras and Camcorders'],3
879,Song,['Music and Audio'],3
880,Soul music,"['Concerts & Music Events', 'Music and Audio']",3
881,Soundtrack music,['Music and Audio'],3
882,Speech synthesizer,['Music and Audio'],3
883,"Steel guitar, slide guitar","['Musical Instruments', 'Music and Audio']",3
884,"Subway, metro, underground",['Rail Travel'],3
885,Swing music,['Music and Audio'],3
886,Tapping (guitar technique),"['Musical Instruments', 'Music and Audio']",3
887,Tender music,['Music and Audio'],3
888,Theme music,"['Theater Venues and Events', 'Music and Audio']",3
889,Tools,['Technology Industry'],3
890,Traditional music,"['Theater Venues and Events', 'Music and Audio']",3
891,Train whistle,"['Travel', 'Rail Travel']",3
892,Trance music,"['Concerts & Music Events', 'Music and Audio']",3
893,Turkey,"['Cooking', 'Cooking']",3
894,"Vehicle horn, car horn, honking","['Pickup Trucks', 'Auto Parts', 'Green Vehicles', 'Luxury Cars']",3
895,Video game music,"['Music and Audio', 'Video Gaming']",3
896,giving or receiving award,"['Business and Finance', 'Primary Education', 'Awards Shows', 'Personal Celebrations & Life Events', 'Graduation']",3
897,playing poker,"['Casinos & Gambling', 'Games and Puzzles', 'Card Games']",3
898,driving car,"['Automotive', 'Station Wagon', 'Minivan', 'Pickup Trucks', 'Green Vehicles', 'Luxury Cars', 'Road-Side Assistance', 'Auto Rentals', 'Coupe', 'Sedan']",3
899,playing clarinet,['Musical Instruments'],3
900,playing cricket,['Sports'],3
901,dining,"['Bars & Restaurants', 'Dining Out']",3
902,reading book,['Books and Literature'],3
903,playing ice hockey,['Sports'],3
904,tasting beer,['Alcoholic Beverages'],3
905,motorcycling,['Motorcycles'],3
906,celebrating,"['Personal Celebrations & Life Events', 'Birthday', 'Graduation']",3
907,tasting food,"['Food Industry', 'Bars & Restaurants', 'Dining Out']",3
908,trimming or shaving beard,"['Hair Care', 'Shaving']",3
909,playing harmonica,['Musical Instruments'],3
910,playing cymbals,['Musical Instruments'],3
911,washing feet,['Bath and Shower'],3
912,shaving head,['Shaving'],3
913,recording music,['Music and Audio'],3
914,playing saxophone,['Musical Instruments'],3
915,passing American football (in game),['Sports'],3
916,using computer,"['Smart Home', 'Home Security', 'Technology & Computing', 'Laptops', 'Consumer Electronics', 'Desktops']",3
917,golf putting,['Sports'],3
918,writing,['Books and Literature'],3
919,barbequing,['Barbecues and Grilling'],3
920,playing accordion,['Musical Instruments'],3
921,playing organ,['Musical Instruments'],3
922,taking a shower,"['Healthy Living', 'Bath and Shower']",3
923,dying hair,"['Beauty', 'Hair Care']",3
924,grooming horse,['Pets'],3
925,playing volleyball,['Sports'],3
926,assembling computer,"['Technology & Computing', 'Laptops', 'Consumer Electronics', 'Desktops']",3
927,playing tennis,['Sports'],3
928,jogging,['Fitness and Exercise'],3
929,riding elephant,['Large Animals'],3
930,playing violin,"['Musical Instruments', 'Music and Audio']",3
931,playing keyboard,"['Musical Instruments', 'Music and Audio']",3
932,applying cream,['Shaving'],3
933,arranging flowers,"['Wedding', 'Flower Shopping']",3
934,playing ukulele,['Musical Instruments'],3
935,playing chess,"['Games and Puzzles', 'Board Games and Puzzles']",3
936,catching or throwing baseball,['Sports'],3
937,playing bagpipes,['Musical Instruments'],3
938,playing harp,['Musical Instruments'],3
939,golf driving,['Sports'],3
940,counting money,"['Business and Finance', 'Casinos & Gambling']",3
941,playing guitar,"['Musical Instruments', 'Music and Audio']",3
942,unloading truck,"['Commercial Trucks', 'Pickup Trucks']",3
943,hitting baseball,['Sports'],3
944,waxing legs,"['Hair Care', 'Shaving']",3
945,trimming trees,['Landscaping'],3
946,curling hair,"['Hair Care', 'Beauty']",3
947,playing drums,"['Musical Instruments', 'Music and Audio']",3
948,playing trombone,['Musical Instruments'],3
949,playing trumpet,['Musical Instruments'],3
950,grooming dog,"['Pets', 'Dogs']",3
951,making bed,['Home Improvement'],3
952,playing xylophone,['Musical Instruments'],3
953,walking the dog,"['Pets', 'Dogs']",3
954,playing cards,"['Games and Puzzles', 'Card Games']",3
955,sled dog racing,['Dogs'],3
956,tapping guitar,"['Musical Instruments', 'Music and Audio']",3
957,mowing lawn,['Landscaping'],3
958,country line dancing,"['Events and Attractions', 'Music and Audio']",3
959,playing monopoly,"['Games and Puzzles', 'Board Games and Puzzles']",3
960,baking cookies,"['Cooking', 'Desserts and Baking']",3
961,playing squash or racquetball,['Fitness and Exercise'],3
962,biking through snow,"['Outdoor Activities', 'Travel']",3
963,blowing glass,['Fine Art'],3
964,playing cello,['Musical Instruments'],3
965,playing flute,['Musical Instruments'],3
966,canoeing or kayaking,['Outdoor Activities'],3
967,building shed,"['Home & Garden', 'Remodeling & Construction', 'Home Improvement', 'Land and Farms']",3
968,eating burger,"['Food & Drink', 'Cooking']",3
969,playing bass guitar,"['Musical Instruments', 'Music and Audio']",3
970,playing basketball,['Sports'],3
971,playing piano,"['Musical Instruments', 'Music and Audio']",3
972,juggling soccer ball,['Sports'],3
973,building cabinet,"['Remodeling & Construction', 'Home Improvement']",3
974,playing controller,['Video Gaming'],3
975,waxing chest,"['Hair Care', 'Shaving']",3
976,watering plants,['Gardening'],3
977,strumming guitar,['Musical Instruments'],3
978,braiding hair,['Hair Care'],3
979,brush painting,['Fine Art'],3
980,eating hotdog,"['Food & Drink', 'Cooking']",3
981,passing American football (not in game),['Sports'],3
982,moving furniture,['Logistics and Transportation Industry'],3
983,playing recorder,"['Musical Instruments', 'Music and Audio']",3
984,training dog,"['Pets', 'Dogs']",3
985,brushing hair,['Hair Care'],3
986,clay pottery making,['Fine Art'],3
987,cleaning floor,['Home & Garden'],3
988,feeding birds,['Birds'],3
989,cooking on campfire,"['Outdoor Activities', 'Cooking', 'Camping']",3
990,drawing,['Fine Art'],3
991,drinking beer,"['Food & Drink', 'Alcoholic Beverages']",3
992,waxing back,"['Hair Care', 'Shaving']",3
993,cleaning pool,['Outdoor Activities'],3
994,tossing salad,['Cooking'],3
995,surfing water,"['Outdoor Activities', 'Beach Travel']",3
996,changing wheel,['Auto Parts'],3
997,dribbling basketball,['Sports'],3
998,making pizza,"['Food & Drink', 'Cooking']",3
999,doing nails,['Nail Care'],3
1000,shooting basketball,['Sports'],3
1001,cutting nails,['Nail Care'],3
1002,cooking chicken,"['Food & Drink', 'Cooking']",3
1003,running on treadmill,['Fitness and Exercise'],3
1004,feeding goats,['Large Animals'],3
1005,waxing eyebrows,"['Hair Care', 'Shaving']",3
1006,eating watermelon,"['Food & Drink', 'Healthy Living']",3
1007,cooking egg,"['Food & Drink', 'Cooking']",3
1008,eating doughnuts,"['Food & Drink', 'Desserts and Baking']",3
1009,hockey stop,['Sports'],3
1010,making tea,"['Food & Drink', 'Non-Alcoholic Beverages']",3
1011,eating chips,['Food & Drink'],3
1012,snatch weight lifting,['Fitness and Exercise'],3
1013,eating cake,"['Birthday', 'Food & Drink', 'Desserts and Baking']",3
1014,grinding meat,['Cooking'],3
1015,getting a haircut,['Hair Care'],3
1016,petting cat,"['Pets', 'Cats']",3
1017,water skiing,"['Outdoor Activities', 'Beach Travel']",3
1018,Person,['Healthy Living'],3
1019,Baseball glove,"['Sports', 'Sports']",3
1020,Pizza,"['Food & Drink', 'Cooking', 'Cooking']",3
1021,'Politics',"['Education industry', 'Education', 'Business and Finance', 'Education industry', 'Media Industry', 'Telecommunications Industry', 'Education', 'College Education', 'Religious Events', 'Pop Culture', 'Religion & Spirituality', 'Hobbies & Interests', 'Science']",3
1022,'World',"['Hospitality Industry', 'Events and Attractions', 'World Cuisines', 'Holiday Shopping', 'Travel', 'Travel Accessories', 'Travel Locations', 'Hotels and Motels']",3
1023,'International',"['Hospitality Industry', 'Events and Attractions', 'World Cuisines', 'Holiday Shopping', 'Travel', 'Travel Accessories', 'Travel Locations', 'Hotels and Motels', 'Business and Finance', 'Education industry', 'Entertainment Industry', 'Financial Industry', 'Food Industry', 'Healthcare Industry', 'Hospitality Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Medical Health', 'Travel', 'Africa Travel', 'Asia Travel', 'Australia and Oceania Travel', 'Europe Travel', 'North America Travel', 'South America Travel', 'Air Travel', 'Business and Finance', 'Education industry', 'Media Industry', 'Telecommunications Industry', 'Education', 'College Education', 'Religious Events', 'Pop Culture', 'Religion & Spirituality', 'Television']",3
1024,'Holiday',"['Hospitality Industry', 'Events and Attractions', 'World Cuisines', 'Holiday Shopping', 'Travel', 'Travel Accessories', 'Travel Locations', 'Hotels and Motels']",3
1025,'Vacation',"['Hospitality Industry', 'Events and Attractions', 'World Cuisines', 'Holiday Shopping', 'Travel', 'Travel Accessories', 'Travel Locations', 'Hotels and Motels']",3
1026,'Business',"['Business and Finance', 'Entertainment Industry', 'Financial Industry', 'Food Industry', 'Hospitality Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Apparel Industry', 'Retail Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Real Estate', 'Business and Finance', 'Entertainment Industry', 'Financial Industry', 'Food Industry', 'Healthcare Industry', 'Hospitality Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Apparel Industry', 'Retail Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Education', 'Home Improvement', 'Home Security', 'Real Estate', 'Retail Property', 'Technology & Computing', 'Consumer Electronics', 'Education', 'Travel', 'Education', 'Travel']",3
1027,'Economy',"['Business and Finance', 'Entertainment Industry', 'Financial Industry', 'Food Industry', 'Hospitality Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Apparel Industry', 'Retail Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Real Estate', 'Business and Finance', 'Entertainment Industry', 'Financial Industry', 'Food Industry', 'Healthcare Industry', 'Hospitality Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Apparel Industry', 'Retail Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Education', 'Home Improvement', 'Home Security', 'Real Estate', 'Retail Property', 'Technology & Computing', 'Consumer Electronics', 'Education', 'Travel', 'Education', 'Travel']",3
1028,'News',"['Entertainment Industry', 'Media Industry', 'Business and Finance', 'Education industry', 'Entertainment Industry', 'Financial Industry', 'Food Industry', 'Healthcare Industry', 'Hospitality Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Medical Health', 'Travel', 'Africa Travel', 'Asia Travel', 'Australia and Oceania Travel', 'Europe Travel', 'North America Travel', 'South America Travel', 'Air Travel', 'Television']",3
1029,'Health',"['Food Industry', 'Healthcare Industry', 'Healthy Living', 'Fitness and Exercise', 'Wellness', 'Medical Health', 'Oral care']",3
1030,'Government',"['Business and Finance', 'Education industry', 'Financial Industry', 'Healthcare Industry', 'Logistics and Transportation Industry', 'Telecommunications Industry', 'Education', 'College Education', 'Primary Education', 'Medical Health']",3
1031,'Policy',"['Business and Finance', 'Education industry', 'Financial Industry', 'Healthcare Industry', 'Logistics and Transportation Industry', 'Telecommunications Industry', 'Education', 'College Education', 'Primary Education', 'Medical Health']",3
1032,'Automobile',"['Automotive', 'Auto Body Styles', 'Station Wagon', 'Pickup Trucks', 'Green Vehicles', 'Luxury Cars', 'Auto Type', 'Road-Side Assistance', 'Auto Parts', 'Auto Repair', 'Auto Rentals', 'Logistics and Transportation Industry', 'Automotive Industry']",3
1033,'Road',"['Automotive', 'Auto Body Styles', 'Station Wagon', 'Pickup Trucks', 'Green Vehicles', 'Luxury Cars', 'Auto Type', 'Road-Side Assistance', 'Auto Parts', 'Auto Repair', 'Auto Rentals', 'Logistics and Transportation Industry', 'Automotive Industry']",3
1034,'Literature',"['Books and Literature', 'Primary Education', 'Education']",3
1035,'Pets',"['Pets', 'Cats', 'Dogs', 'Large Animals']",3
1036,'Education',"['Books and Literature', 'Business and Finance', 'Education industry', 'Financial Industry', 'Healthcare Industry', 'Logistics and Transportation Industry', 'Technology Industry', 'Education', 'College Education', 'Primary Education', 'Daycare and Pre-School', 'Medical Health', 'Science', 'Graduation', 'Parenting']",3
1037,'Shopping',"['Malls & Shopping Centers', 'Retail Property', 'Shopping', 'Flower Shopping', 'Grocery Shopping', 'Holiday Shopping']",3
1038,'Living',"['Personal Celebrations & Life Events', 'Family and Relationships', 'Single Life', 'Dining Out', 'Healthy Living', 'Religion & Spirituality']",3
1039,'Travel',"['Luxury Cars', 'Road-Side Assistance', 'Auto Rentals', 'Logistics and Transportation Industry', 'Aviation Industry', 'Travel', 'Travel Accessories', 'Travel Locations', 'Africa Travel', 'Asia Travel', 'Australia and Oceania Travel', 'Europe Travel', 'North America Travel', 'Polar Travel', 'South America Travel', 'Hotels and Motels', 'Rail Travel', 'Air Travel', 'Beach Travel', 'Cruises']",3
1040,'Transportation',"['Luxury Cars', 'Road-Side Assistance', 'Auto Rentals', 'Logistics and Transportation Industry', 'Aviation Industry', 'Travel', 'Travel Accessories', 'Travel Locations', 'Africa Travel', 'Asia Travel', 'Australia and Oceania Travel', 'Europe Travel', 'North America Travel', 'Polar Travel', 'South America Travel', 'Hotels and Motels', 'Rail Travel', 'Air Travel', 'Beach Travel', 'Cruises']",3
1041,'Home',"['Home & Garden', 'Smart Home', 'Home Appliances', 'Home Entertaining', 'Home Improvement', 'Home Security', 'Real Estate', 'Apartments', 'Retail Property', 'Houses', 'Land and Farms', 'Household Supplies']",3
1042,'Residence',"['Home & Garden', 'Smart Home', 'Home Appliances', 'Home Entertaining', 'Home Improvement', 'Home Security', 'Real Estate', 'Apartments', 'Retail Property', 'Houses', 'Land and Farms', 'Household Supplies']",3
1043,'Music',"['Theater Venues and Events', 'Concerts & Music Events', 'Musical Instruments', 'Music and Audio', 'Pop Culture']",3
1044,'Technology',"['Education industry', 'Financial Industry', 'Healthcare Industry', 'Logistics and Transportation Industry', 'Media Industry', 'Retail Industry', 'Technology Industry', 'Telecommunications Industry', 'Automotive Industry', 'Aviation Industry', 'Science', 'Technology & Computing', 'Consumer Electronics', 'Smartphones']",3
1045,'Science',"['Education industry', 'Technology Industry', 'Education', 'College Education', 'Primary Education', 'Science', 'Space and Astronomy', 'Technology & Computing']",3
1046,'Food',"['Food Industry', 'Bars & Restaurants', 'Food & Drink', 'World Cuisines', 'Cooking', 'Desserts and Baking', 'Dining Out', 'Grocery Shopping']",3
1047,'Public',"['Education industry', 'Healthcare Industry', 'Logistics and Transportation Industry', 'Education', 'Primary Education', 'Religious Events', 'Theater Venues and Events']",3
1048,Sea turtle,['Large Animals'],3
1049,Football,['Sports'],3
1050,Home appliance,['Home Appliances'],3
1051,Boot,"[""Women's Shoes and Footwear""]",3
1052,Limousine,['Luxury Cars'],3
1053,Cheese,"['Food & Drink', 'Cooking']",3
1054,Dairy,['Food Industry'],3
1055,Shower,['Bath and Shower'],3
1056,Volleyball,['Sports'],3
1057,Slow cooker,['Cooking'],3
1058,Personal care,"['Fitness and Exercise', 'Hair Care', 'Nail Care', 'Oral care']",3
1059,Sun hat,"[""Men's Clothing""]",3
1060,Tree house,"['Home & Garden', 'Home Improvement']",3
1061,Gas stove,"['Cooking', 'Home Appliances']",3
1062,Salt and pepper shakers,['Food & Drink'],3
1063,Fruit,"['Food & Drink', 'Desserts and Baking']",3
1064,Tart,['Desserts and Baking'],3
1065,Human foot,"[""Women's Shoes and Footwear""]",3
1066,Egg,['Desserts and Baking'],3
1067,Mixing bowl,"['Cooking', 'Desserts and Baking']",3
1068,Kitchen utensil,['Cooking'],3
1069,Food processor,"['Food & Drink', 'Cooking']",3
1070,Wood-burning stove,"['Cooking', 'Home Appliances']",3
1071,Golf ball,['Sports'],3
1072,Human head,['Hair Care'],3
1073,Frying pan,['Cooking'],3
1074,Milk,['Food & Drink'],3
1075,Table tennis racket,['Sports'],3
1076,Musical keyboard,['Musical Instruments'],3
1077,Kitchen knife,['Cooking'],3
1078,Tennis ball,['Sports'],3
1079,Potato,['Cooking'],3
1080,Pasta,['Cooking'],3
1081,Seafood,"['Food & Drink', 'World Cuisines']",3
1082,Cooking spray,"['Cooking', 'Desserts and Baking']",3
1083,Bowling equipment,['Sports'],3
1084,Wok,['Cooking'],3
1085,Bread,"['Food & Drink', 'Cooking', 'Desserts and Baking']",3
1086,Chicken,['Cooking'],3
1087,Deer,['Large Animals'],3
1088,Furniture,['Home & Garden'],3
1089,Ice cream,"['Food & Drink', 'Desserts and Baking']",3
1090,Vegetable,['Cooking'],3
1091,Sea lion,"['Large Animals', 'Polar Travel']",3
1092,Watch,"[""Women's Jewelry and Watches""]",3
1093,Salad,"['Food & Drink', 'Cooking']",3
1094,Cat furniture,"['Pets', 'Cats']",3
1095,Bathroom accessory,['Bath and Shower'],3
1096,Pressure cooker,['Cooking'],3
1097,Pastry,"['Cooking', 'Desserts and Baking']",3
1098,Rugby ball,['Sports'],3
1099,'cock',"['Birds', 'Home & Garden', 'Healthy Living', 'Home & Garden', 'Healthy Living']",3
1100,'house finch',['Birds'],3
1101,'linnet',['Birds'],3
1102,'Carpodacus mexicanus',['Birds'],3
1103,'common iguana',['Reptiles'],3
1104,'iguana',['Reptiles'],3
1105,'Iguana iguana',['Reptiles'],3
1106,'American chameleon',['Reptiles'],3
1107,'anole',['Reptiles'],3
1108,'Anolis carolinensis',['Reptiles'],3
1109,'frilled lizard',['Reptiles'],3
1110,'Chlamydosaurus kingi',['Reptiles'],3
1111,'African chameleon',['Reptiles'],3
1112,'Chamaeleo chamaeleon',['Reptiles'],3
1113,'quail',['Birds'],3
1114,'African grey',['Birds'],3
1115,'African gray',['Birds'],3
1116,'Psittacus erithacus',['Birds'],3
1117,'sulphur-crested cockatoo',['Birds'],3
1118,'Kakatoe galerita',['Birds'],3
1119,'Cacatua galerita',['Birds'],3
1120,'goose',"['Birds', 'Large Animals', 'Food & Drink', 'Food & Drink']",3
1121,'Japanese spaniel',"['Pets', 'Dogs']",3
1122,'Maltese dog',"['Pets', 'Dogs']",3
1123,'Maltese terrier',"['Pets', 'Dogs']",3
1124,'Maltese',"['Pets', 'Dogs']",3
1125,'Pekinese',['Dogs'],3
1126,'Pekingese',['Dogs'],3
1127,'Peke',['Dogs'],3
1128,'Shih-Tzu',"['Pets', 'Dogs']",3
1129,'Blenheim spaniel',['Dogs'],3
1130,'papillon',"['Pets', 'Dogs']",3
1131,'Rhodesian ridgeback',['Dogs'],3
1132,'Afghan hound',['Dogs'],3
1133,'Afghan',['Dogs'],3
1134,'basset',['Dogs'],3
1135,'basset hound',['Dogs'],3
1136,'bloodhound',"['Pets', 'Dogs']",3
1137,'sleuthhound',"['Pets', 'Dogs']",3
1138,'bluetick',['Dogs'],3
1139,'black-and-tan coonhound',['Dogs'],3
1140,'Walker hound',['Dogs'],3
1141,'Walker foxhound',['Dogs'],3
1142,'English foxhound',['Dogs'],3
1143,'redbone',['Dogs'],3
1144,'borzoi',['Dogs'],3
1145,'Russian wolfhound',['Dogs'],3
1146,'Irish wolfhound',['Dogs'],3
1147,'Italian greyhound',"['Pets', 'Dogs']",3
1148,'whippet',['Dogs'],3
1149,'otterhound',"['Pets', 'Dogs']",3
1150,'otter hound',"['Pets', 'Dogs']",3
1151,'Saluki',['Dogs'],3
1152,'gazelle hound',['Dogs'],3
1153,'Scottish deerhound',"['Pets', 'Dogs']",3
1154,'deerhound',"['Pets', 'Dogs']",3
1155,'Weimaraner',['Pets'],3
1156,'Staffordshire bullterrier',['Dogs'],3
1157,'Staffordshire bull terrier',['Dogs'],3
1158,'American Staffordshire terrier',['Dogs'],3
1159,'Staffordshire terrier',['Dogs'],3
1160,'American pit bull terrier',['Dogs'],3
1161,'pit bull terrier',['Dogs'],3
1162,'Bedlington terrier',"['Pets', 'Dogs']",3
1163,'Border terrier',"['Pets', 'Dogs']",3
1164,'Kerry blue terrier',['Pets'],3
1165,'Irish terrier',"['Pets', 'Dogs']",3
1166,'Norfolk terrier',"['Pets', 'Dogs']",3
1167,'Norwich terrier',"['Pets', 'Dogs']",3
1168,'Yorkshire terrier',['Pets'],3
1169,'wire-haired fox terrier',"['Pets', 'Dogs']",3
1170,'Lakeland terrier',"['Pets', 'Dogs']",3
1171,'Sealyham terrier',"['Pets', 'Dogs']",3
1172,'Sealyham',"['Pets', 'Dogs']",3
1173,'Airedale',['Dogs'],3
1174,'Airedale terrier',['Dogs'],3
1175,'cairn',['Dogs'],3
1176,'cairn terrier',['Dogs'],3
1177,'Australian terrier',"['Pets', 'Dogs']",3
1178,'Dandie Dinmont',"['Pets', 'Dogs']",3
1179,'Dandie Dinmont terrier',"['Pets', 'Dogs']",3
1180,'Boston bull',"['Pets', 'Dogs']",3
1181,'Boston terrier',"['Pets', 'Dogs']",3
1182,'miniature schnauzer',"['Pets', 'Dogs']",3
1183,'giant schnauzer',"['Pets', 'Dogs', 'Large Animals']",3
1184,'standard schnauzer',"['Pets', 'Dogs']",3
1185,'Scotch terrier',['Dogs'],3
1186,'Scottish terrier',['Dogs'],3
1187,'Scottie',['Dogs'],3
1188,'Tibetan terrier',"['Pets', 'Dogs']",3
1189,'chrysanthemum dog',"['Pets', 'Dogs']",3
1190,'silky terrier',['Dogs'],3
1191,'Sydney silky',['Dogs'],3
1192,'soft-coated wheaten terrier',['Dogs'],3
1193,'West Highland white terrier',['Dogs'],3
1194,'Lhasa',['Dogs'],3
1195,'Lhasa apso',['Dogs'],3
1196,'flat-coated retriever',['Pets'],3
1197,'curly-coated retriever',"['Pets', 'Dogs']",3
